,Unnamed: 0,의원명,병명,백신명,가격,의원위치,위도,경도
0,0,강북삼성병원,대상포진,조스타박스주,"170,000",서울 종로구,37.5683585,126.9674846
1,1,강북삼성병원,로타바이러스,로타릭스프리필드,"110,000",서울 종로구,37.5683585,126.9674846
2,2,강북삼성병원,로타바이러스,로타텍액,"90,000",서울 종로구,37.5683585,126.9674846
3,3,강북삼성병원,A형간염,아박심160U성인용주,"68,000",서울 종로구,37.5683585,126.9674846
4,4,강북삼성병원,A형간염,하브릭스주 1ml,"70,000",서울 종로구,37.5683585,126.9674846
5,5,강북삼성병원,수막구균,멘비오,"140,000",서울 종로구,37.5683585,126.9674846
6,6,강북삼성병원,사람유두종바이러스,가다실프리필드시린지,"180,000",서울 종로구,37.5683585,126.9674846
7,7,강북삼성병원,사람유두종바이러스,서바릭스프리필드시린지,"123,500",서울 종로구,37.5683585,126.9674846
8,8,강북삼성병원,사람유두종바이러스,가다실9프리필드시린지,"210,000",서울 종로구,37.5683585,126.9674846
9,9,강북삼성병원,인플루엔자,지씨플루쿼드리밸런트프리필드시린지주,"37,000",서울 종로구,37.5683585,126.9674846
10,10,강북삼성병원,인플루엔자,플루아릭스테트라프리필드시린지,"37,000",서울 종로구,37.5683585,126.9674846
11,11,강북삼성병원,장티푸스,지로티프-주,"15,000",서울 종로구,37.5683585,126.9674846
12,12,강북삼성병원,"Td(파상풍, 디프테리아)",에스케이티디백신주,"31,900",서울 종로구,37.5683585,126.9674846
13,13,강북삼성병원,폐렴구균,프리베나13주,"89,200",서울 종로구,37.5683585,126.9674846
14,14,강북삼성병원,폐렴구균,프로디악스-23,"42,350",서울 종로구,37.5683585,126.9674846
15,15,건국대학교병원,대상포진,조스타박스주,"195,000",서울 광진구,37.5408245,127.0722209
16,16,건국대학교병원,로타바이러스,로타릭스프리필드,"150,000",서울 광진구,37.5408245,127.0722209
17,17,건국대학교병원,로타바이러스,로타텍액,"100,000",서울 광진구,37.5408245,127.0722209
18,18,건국대학교병원,A형간염,아박심160U성인용주,"60,000",서울 광진구,37.5408245,127.0722209
19,19,건국대학교병원,A형간염,박타프리필드 시린지 0.5ml,"40,000",서울 광진구,37.5408245,127.0722209
20,20,건국대학교병원,수두,수두박스주,"35,000",서울 광진구,37.5408245,127.0722209
21,21,건국대학교병원,수막구균,멘비오,"150,000",서울 광진구,37.5408245,127.0722209
22,22,건국대학교병원,사람유두종바이러스,가다실9프리필드시린지,"200,000",서울 광진구,37.5408245,127.0722209
23,23,건국대학교병원,사람유두종바이러스,가다실프리필드시린지,"140,000",서울 광진구,37.5408245,127.0722209
24,24,건국대학교병원,사람유두종바이러스,서바릭스프리필드시린지,"150,000",서울 광진구,37.5408245,127.0722209
25,25,건국대학교병원,인플루엔자,지씨플루쿼드리밸런트프리필드시린지주,"40,000",서울 광진구,37.5408245,127.0722209
26,26,건국대학교병원,장티푸스,지로티프-주,"28,160",서울 광진구,37.5408245,127.0722209
27,27,건국대학교병원,"Td(파상풍, 디프테리아)",녹십자티디백신프리필드시린지주,"30,000",서울 광진구,37.5408245,127.0722209
28,28,건국대학교병원,"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,"48,000",서울 광진구,37.5408245,127.0722209
29,29,건국대학교병원,폐렴구균,프로디악스-23프리필드시린지,"50,000",서울 광진구,37.5408245,127.0722209
30,30,건국대학교병원,폐렴구균,프리베나13주,"120,000",서울 광진구,37.5408245,127.0722209
31,31,건국대학교병원,폐렴구균,신플로릭스프리필드시린지,"63,000",서울 광진구,37.5408245,127.0722209
32,32,경희대학교병원,대상포진,조스타박스주,"190,000",서울 동대문구,37.593884,127.0513235
33,33,경희대학교병원,로타바이러스,로타텍액,"100,000",서울 동대문구,37.593884,127.0513235
34,34,경희대학교병원,로타바이러스,로타릭스프리필드,"110,000",서울 동대문구,37.593884,127.0513235
35,35,경희대학교병원,A형간염,아박심160U성인용주,"70,000",서울 동대문구,37.593884,127.0513235
36,36,경희대학교병원,A형간염,박타주 0.5ml,"40,000",서울 동대문구,37.593884,127.0513235
